,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
63,Derzhavinsk,9,KZ,1570218028,41,51.1,66.31,49.3,2.48
64,Kahului,20,US,1570218028,58,20.89,-156.47,84.2,18.34
65,Port Elizabeth,20,US,1570218029,33,39.31,-74.98,73.99,16.11
66,Barrow,91,AR,1570218029,86,-38.31,-60.23,48.38,5.23
67,Upernavik,100,GL,1570218029,68,72.79,-56.15,38.97,11.43
68,Praia,76,BR,1570218030,51,-20.25,-43.81,73.26,5.32
69,Bilma,45,NE,1570218030,14,18.69,12.92,92.97,9.44
70,Itaituba,97,BR,1570218031,55,-4.26,-55.99,87.73,0.81
71,Talara,0,PE,1570218031,290,-4.58,-81.27,62.6,24.16
72,Ribeira Grande,75,PT,1570218032,88,38.52,-28.7,69.8,16.11
73,Ponta do Sol,0,BR,1570218032,42,-20.63,-46.0,76.82,5.79
74,Launceston,90,AU,1570218032,68,-41.43,147.14,44.01,8.05
75,Camopi,69,GF,1570218032,44,3.17,-52.33,87.64,2.73
76,Husavik,77,CA,1570218033,74,50.56,-96.99,46.99,15.99
77,Tasiilaq,90,GL,1570218033,70,65.61,-37.64,44.6,41.38
78,Kadoshkino,91,RU,1570218033,81,54.03,44.42,59.02,13.98
79,Lewisporte,75,CA,1570218034,48,49.25,-55.06,45.0,11.41
80,Thompson,75,CA,1570217834,54,55.74,-97.86,53.6,12.75
81,Mareeba,90,AU,1570218034,77,-16.99,145.42,69.8,11.41
82,Avera,1,US,1570218035,28,33.19,-82.53,100.99,5.82
83,Sabang,0,PH,1570218035,95,13.8,121.11,75.0,1.32
84,Dikson,100,RU,1570218035,89,73.51,80.55,25.56,27.04
85,East London,50,ZA,1570218035,91,-33.02,27.91,57.0,2.53
86,Dingle,77,PH,1570218036,89,11.0,122.67,74.39,1.7
87,Nata,43,BW,1570218036,15,-20.21,26.19,74.81,12.86
88,Tazovskiy,100,RU,1570218036,91,67.47,78.7,37.13,23.53
89,Saint-Pierre,75,FR,1570218036,93,48.95,4.24,57.2,11.41
90,Mabaruma,26,GY,1570218037,59,8.2,-59.78,85.93,5.57
91,Arraial do Cabo,0,BR,1570218037,78,-22.97,-42.02,77.0,25.28
92,Namatanai,100,PG,1570218038,76,-3.66,152.44,79.18,6.2
93,Geraldton,5,CA,1570218038,43,49.72,-86.95,50.0,3.36
94,Bambous Virieux,40,MU,1570218038,100,-20.34,57.76,73.4,12.75
95,Salta,75,AR,1570217929,40,-24.79,-65.41,73.4,16.11
96,Talnakh,75,RU,1570218039,87,69.49,88.39,32.0,13.42
97,Bluff,0,AU,1570218040,66,-23.58,149.07,63.29,1.74
98,Poum,75,MK,1570218040,76,41.28,20.71,51.8,4.7
99,Kidal,0,ML,1570218041,8,18.44,1.41,92.9,9.24
100,Ikon-Khalk,0,RU,1570218041,6,44.32,41.92,64.0,5.99
101,Amarpur,20,IN,1570218041,97,23.52,91.65,73.78,2.59
102,Vicksburg,1,US,1570218042,88,32.35,-90.88,87.8,9.95
103,Sao Filipe,0,CV,1570218042,85,14.9,-24.5,79.49,16.8
104,Margate,0,AU,1570218042,86,-43.03,147.26,39.0,12.75
105,Pangnirtung,20,CA,1570218043,64,66.15,-65.72,39.2,14.99
106,Yellowknife,90,CA,1570218043,87,62.45,-114.38,46.4,14.99
107,Den Helder,75,NL,1570218043,87,52.96,4.76,51.8,12.75
108,Okha,3,RU,1570218043,61,53.59,142.95,37.83,5.37
109,Komsomolskiy,44,RU,1570218044,97,67.55,63.78,28.46,7.56
110,Banikoara,100,BJ,1570218044,88,11.3,2.44,70.23,5.01
111,Luziania,75,BR,1570218045,20,-16.25,-47.95,93.2,8.05
112,Purranque,75,CL,1570218045,47,-40.91,-73.16,55.4,4.7
113,Innisfail,94,AU,1570218045,86,-17.52,146.03,67.03,6.31
114,Havre-Saint-Pierre,90,CA,1570218046,65,50.23,-63.6,44.6,18.34
115,Verkhnevilyuysk,86,RU,1570218046,97,63.45,120.31,25.79,2.37
116,Merritt Island,20,US,1570217830,79,28.54,-80.67,91.99,9.17
117,Henties Bay,0,NA,1570218047,87,-22.12,14.28,63.0,5.99
118,Viedma,98,AR,1570218047,34,-40.81,-62.99,60.33,3.71
119,Bombay,90,US,1570218047,70,44.94,-74.57,50.0,6.93
120,Meulaboh,100,ID,1570218048,80,4.14,96.13,79.77,9.31
121,Puerto Ayora,75,EC,1570218048,57,-0.74,-90.35,78.8,19.46
122,Hofn,90,IS,1570218048,75,64.25,-15.21,46.4,13.87
123,Severo-Kurilsk,100,RU,1570218048,70,50.68,156.12,42.53,17.31
124,Xuddur,100,SO,1570218049,80,4.12,43.89,74.84,1.86
125,Chuy,100,UY,1570218049,94,-33.69,-53.46,58.12,12.75
126,Robertsport,100,LR,1570218049,84,6.75,-11.37,76.26,0.96
127,Salalah,75,OM,1570218050,83,17.01,54.1,80.6,8.05
128,Karratha,0,AU,1570218050,31,-20.74,116.85,70.47,19.19
129,Rundu,46,NA,1570218050,18,-17.91,19.77,84.2,3.36
130,Qaanaaq,94,GL,1570218050,70,77.48,-69.36,23.72,2.1
131,Pop,99,UZ,1570218051,72,40.87,71.1,62.6,6.93
132,Hilo,55,US,1570217735,82,19.71,-155.08,79.0,3.0
133,Surt,0,LY,1570218051,72,31.21,16.59,75.51,15.68
134,Lebu,75,ET,1570218052,87,8.96,38.73,59.0,4.7
135,Mar del Plata,2,AR,1570218052,23,-46.43,-67.52,59.9,18.88
136,Gizo,0,IL,1570218052,69,31.8,34.94,75.99,3.36
137,Cidreira,99,BR,1570218053,96,-30.17,-50.22,65.95,6.71
138,Havelock,1,US,1570217762,58,34.88,-76.9,93.2,21.92
139,Sinnamary,0,GF,1570218053,79,5.38,-52.96,82.1,13.27
140,New Norfolk,0,AU,1570217731,86,-42.78,147.06,39.0,12.75
141,Port Lincoln,98,AU,1570218054,83,-34.72,135.86,59.65,18.72
142,Sainte-Anne-des-Monts,21,CA,1570217802,64,49.13,-66.49,45.56,18.52
143,Abnub,0,EG,1570218054,45,27.27,31.15,84.2,12.75
144,Cherskiy,99,RU,1570218055,94,68.75,161.3,21.96,8.86
145,Fort Nelson,90,CA,1570218055,93,58.81,-122.69,44.6,6.93
146,Tuli,3,IN,1570218055,91,26.71,94.63,73.91,2.33
147,Gat,20,SN,1570218056,69,14.69,-16.54,82.4,3.36
148,Bonthe,100,SL,1570218056,90,7.53,-12.5,76.12,5.06
149,Codrington,11,AU,1570218056,93,-28.95,153.24,57.2,5.82
150,Cobija,75,BR,1570218057,66,-11.02,-68.77,87.8,13.87
151,Wilmington,1,US,1570217807,42,39.75,-75.55,70.0,17.22
152,Swan Hill,95,AU,1570218058,71,-35.34,143.56,53.62,12.41
153,Beloha,0,MG,1570218058,73,-25.17,45.06,73.74,5.93
154,Turukhansk,100,RU,1570218058,91,65.8,87.96,32.79,11.18
155,Vaini,41,IN,1570218059,97,15.34,74.49,74.07,1.48
156,North Bend,75,US,1570218059,77,43.41,-124.22,63.0,8.05
157,Jamestown,97,AU,1570218059,20,-33.21,138.6,72.63,11.68
158,Alofi,40,NU,1570218060,88,-19.06,-169.92,73.4,9.17
159,Teeli,9,RU,1570218060,41,51.01,90.2,32.2,2.77
160,Teknaf,98,BD,1570218060,75,20.86,92.31,82.26,2.95
161,Hoquiam,75,US,1570218061,87,46.98,-123.89,60.01,11.41
162,Magalia,1,US,1570218061,37,39.81,-121.58,69.8,10.29
163,Torbay,90,CA,1570217645,48,47.66,-52.73,46.99,13.87
164,Katangli,0,RU,1570218062,60,51.71,143.23,33.17,0.74
165,Umm Lajj,7,SA,1570218064,63,25.02,37.27,86.81,7.38
166,Carnarvon,0,ZA,1570218065,15,-30.97,22.13,58.25,7.07
167,Bathsheba,75,BB,1570218065,70,13.22,-59.52,84.2,4.7
168,Khatanga,100,RU,1570217732,87,71.98,102.47,23.34,15.84
169,Saint-Augustin,40,CA,1570218066,46,45.63,-73.98,53.01,13.87
170,Moba,0,CD,1570218066,45,-7.04,29.77,68.78,3.85
171,Castro,75,CL,1570218066,87,-42.48,-73.76,48.2,5.82
172,Longyearbyen,75,NO,1570218067,74,78.22,15.63,33.8,5.82
173,Tabou,100,CI,1570218067,93,4.42,-7.36,74.91,6.8
174,Cardston,1,CA,1570218067,39,49.2,-113.32,50.0,17.22
175,Marsh Harbour,1,BS,1570218067,77,26.54,-77.06,81.05,12.46
176,Shunyi,0,CN,1570218068,66,40.13,116.65,61.0,6.71
177,Nogliki,0,RU,1570218068,60,51.8,143.14,33.17,0.74
178,Iglesias,12,ES,1570218068,82,42.3,-3.99,70.0,8.05
179,Sitka,99,US,1570218069,69,37.17,-99.65,68.67,17.67
180,Kailua,90,US,1570217797,69,21.39,-157.74,84.99,16.11
181,Westport,40,US,1570217841,44,41.14,-73.36,62.01,23.04
182,Novaya Igirma,0,RU,1570218069,84,57.14,103.93,31.28,5.68
183,Richards Bay,5,ZA,1570217732,89,-28.77,32.06,70.07,15.93
184,Tuktoyaktuk,90,CA,1570218070,78,69.44,-133.03,32.0,11.41
185,Novoselitskoye,5,RU,1570218070,72,44.75,43.44,62.6,2.24
186,Zhigansk,0,RU,1570218071,71,66.77,123.37,18.86,4.61
187,Sao Joao da Barra,75,BR,1570218071,69,-21.64,-41.05,78.8,27.51
188,Pryyutivka,100,UA,1570218071,87,48.72,33.07,50.38,10.69
189,Airai,16,TL,1570218072,61,-8.93,125.41,69.01,3.76
190,Belaya Gora,100,RU,1570218072,57,68.54,146.19,25.99,14.7
191,Vysha,100,RU,1570218072,92,53.85,42.38,53.15,8.68
192,Oktyabrskiy,75,RU,1570218073,76,55.61,37.97,48.2,6.71
193,Fort Dodge,1,US,1570217832,66,42.5,-94.17,59.0,8.05
194,Angoram,94,PG,1570218073,91,-4.06,144.07,72.56,1.68
195,Yining,58,CN,1570218073,68,29.04,114.56,72.41,1.66
196,Los Llanos de Aridane,75,ES,1570218074,78,28.66,-17.92,73.4,14.99
197,Vaitape,94,PF,1570218074,84,-16.52,-151.75,78.68,11.52
198,Pitimbu,40,BR,1570218074,65,-7.47,-34.81,80.6,17.22
199,Port Blair,64,IN,1570218075,66,11.67,92.75,81.86,2.15
200,Guarapari,75,BR,1570218075,78,-20.67,-40.5,79.0,8.05
201,Dunmore East,40,IE,1570218075,93,52.15,-6.99,57.0,2.73
202,Worland,1,US,1570218076,44,44.02,-107.96,69.01,4.7
203,Kavieng,79,PG,1570218076,69,-2.57,150.8,83.1,2.86
204,Makakilo City,1,US,1570217996,62,21.35,-158.09,84.99,9.17
205,Xining,100,CN,1570218077,94,36.62,101.77,39.42,1.25
206,Ugoofaaru,99,MV,1570218077,73,5.67,73.0,81.66,5.26
207,Grindavik,90,IS,1570218077,70,63.84,-22.43,50.0,44.96
208,Tura,100,RU,1570218078,95,64.27,100.22,36.92,7.23
209,Celestun,25,MX,1570218078,76,20.87,-90.4,83.18,10.0
210,Taseyevo,100,RU,1570218078,89,57.22,94.9,43.4,10.96
211,Saint George,40,GR,1570218079,93,39.45,22.34,62.6,4.7
212,Hasaki,20,JP,1570218079,73,35.73,140.83,71.6,3.36
213,Fairbanks,75,US,1570218061,100,64.84,-147.72,37.4,5.82
214,Shingu,7,JP,1570218080,97,33.72,135.99,56.34,5.99
215,Dwarka,40,IN,1570218080,78,28.58,77.04,86.0,5.82
216,La Ronge,75,CA,1570218080,66,55.1,-105.3,48.2,13.87
217,Sambava,18,MG,1570218081,99,-14.27,50.17,67.95,2.26
218,Gaspe,75,CA,1570218081,45,48.83,-64.48,46.4,12.75
219,Ponta Delgada,40,PT,1570218081,88,37.73,-25.67,75.99,10.29
220,Atar,0,MR,1570218081,12,20.52,-13.05,95.13,10.04
221,Clyde River,40,CA,1570218082,74,70.47,-68.59,33.8,3.36
222,Provideniya,100,RU,1570218082,83,64.42,-173.23,26.62,37.47
223,Saint-Leu,0,RE,1570218083,78,-21.15,55.28,75.2,16.11
224,Puerto Baquerizo Moreno,75,EC,1570218083,78,-0.9,-89.6,73.4,19.46
225,Alawalpur,0,IN,1570218084,66,31.43,75.65,70.52,2.26
226,Darhan,0,MN,1570218085,70,49.49,105.92,30.72,6.35
227,Saldanha,17,PT,1570218085,71,41.42,-6.55,61.7,4.63
228,Poya,100,NC,1570218086,69,-21.35,165.16,68.76,6.2
229,Palmer,0,AU,1570218086,82,-34.85,139.16,69.01,6.93
230,Fortuna,20,US,1570218086,59,40.6,-124.16,64.0,10.29
231,Merritt,40,CA,1570218087,62,50.11,-120.79,55.4,4.21
232,Chippewa Falls,90,US,1570218087,65,44.94,-91.39,46.99,8.05
233,Carutapera,23,BR,1570218087,75,-1.2,-46.02,79.34,6.33
234,Georgetown,40,GY,1570218078,59,6.8,-58.16,91.4,13.87
235,Taoudenni,0,ML,1570218088,10,22.68,-3.98,92.5,17.94
236,Tuatapere,73,NZ,1570218088,72,-46.13,167.69,46.0,11.99
237,Norman Wells,75,CA,1570218089,75,65.28,-126.83,42.8,3.36
238,Venustiano Carranza,20,MX,1570218089,45,19.42,-99.11,77.0,4.7
239,Hamilton,90,CA,1570217865,70,43.26,-79.87,54.0,6.93
240,Sistranda,0,NO,1570218090,74,63.73,8.83,37.0,10.29
241,Keffi,40,NG,1570218090,69,8.85,7.88,78.8,8.05
242,Kudat,75,MY,1570218090,94,6.89,116.84,75.2,3.36
243,Esperance,90,AU,1570218091,67,-33.86,121.89,60.8,12.75
244,Umm Kaddadah,100,SD,1570218091,85,13.6,26.69,74.39,16.13
245,Boguchany,100,RU,1570218091,90,58.38,97.46,42.62,9.64
246,Shumikha,68,RU,1570218092,83,55.23,63.28,51.33,7.29
247,Nemuro,100,JP,1570218092,97,43.32,145.57,61.4,20.89
248,Coahuayana,81,MX,1570218092,70,18.62,-100.35,84.11,2.33
249,Berdigestyakh,86,RU,1570218093,98,62.1,126.7,20.39,4.27
250,Jumla,8,NP,1570218093,90,29.28,82.18,43.97,3.8
251,Rabo de Peixe,40,PT,1570218094,88,37.8,-25.58,75.99,10.29
252,Antsohihy,0,MG,1570218094,61,-14.88,47.99,80.46,8.3
253,Dunoon,90,GB,1570218095,87,55.95,-4.92,51.8,13.87
254,Sal Rei,75,CV,1570218095,74,16.18,-22.92,82.4,11.41
255,Chimbote,97,PE,1570218096,91,-9.08,-78.59,61.54,16.98
256,Vila Velha,20,BR,1570218096,66,-3.71,-38.6,84.2,13.87
257,Jonkoping,41,SE,1570218096,69,57.78,14.16,39.2,9.17
258,Buchanan,75,LR,1570218026,94,5.88,-10.05,78.8,4.7
259,Lagoa,0,PT,1570218097,77,37.14,-8.45,69.8,4.7
260,Arman,37,RU,1570218097,80,59.7,150.17,16.47,4.52
261,Manduria,20,IT,1570218097,55,40.4,17.63,64.4,13.87
262,Lima,90,PE,1570218097,77,-12.06,-77.04,66.2,12.75
263,Klaksvik,57,FO,1570218098,70,62.23,-6.59,46.4,16.11
264,Nome,40,US,1570218098,46,30.04,-94.42,95.0,3.36
265,Sri Aman,100,MY,1570218099,100,1.24,111.46,73.4,2.24
266,Port-Gentil,75,GA,1570218100,88,-0.72,8.78,78.8,12.75
267,Xai-Xai,0,MZ,1570218100,65,-25.04,33.64,74.07,8.7
268,Oranjestad,40,AW,1570218062,70,12.52,-70.03,87.8,16.11
269,Lock Haven,90,US,1570218100,58,41.14,-77.45,64.4,13.87
270,Gamba,0,CN,1570218101,71,28.28,88.52,34.85,2.95
271,Vestmannaeyjar,100,IS,1570218101,78,63.44,-20.27,48.35,54.78
272,Boca do Acre,87,BR,1570218101,62,-8.76,-67.39,84.83,8.34
273,Burnie,83,AU,1570218102,61,-41.05,145.91,46.0,1.99
274,Caxito,0,BR,1570218102,78,-22.65,-42.51,77.0,25.28
275,Barcelona,20,ES,1570217842,73,41.38,2.18,73.0,6.93
276,Polunochnoye,100,RU,1570218103,96,60.87,60.43,45.27,4.38
277,Baoning,0,CN,1570218103,88,25.34,110.03,71.6,4.47
278,Kieta,100,PG,1570218103,76,-6.22,155.63,81.54,5.61
279,San Cristobal,73,HN,1570218103,72,14.68,-86.92,79.97,3.87
280,Perisoru,100,RO,1570218104,94,44.45,27.55,52.0,4.0
281,Muros,20,ES,1570218104,87,42.77,-9.06,62.01,1.12
282,Vigrestad,0,NO,1570218105,52,58.57,5.7,46.0,8.05
283,Alamosa,1,US,1570218105,32,37.47,-105.87,66.2,25.28
284,Azul,100,AR,1570217934,90,-36.78,-59.86,53.01,1.01
285,Iqaluit,75,CA,1570218105,69,63.75,-68.52,37.4,20.8
286,Asmar,0,AF,1570218105,69,35.03,71.36,47.88,2.59
287,Borogontsy,46,RU,1570218106,85,62.67,131.17,19.78,6.46
288,Tornio,90,FI,1570218106,90,61.12,27.27,36.0,6.93
289,Luanda,75,AO,1570218106,73,-8.83,13.24,77.0,6.93
290,Shinshiro,20,JP,1570218107,78,34.95,137.53,72.0,25.28
291,Lamar,90,US,1570218107,55,38.09,-102.62,66.2,9.17
292,Gitarama,40,RW,1570218107,53,-2.07,29.76,71.6,5.82
293,Caravelas,33,BR,1570218108,80,-17.73,-39.27,75.11,11.88
294,Kibala,20,TD,1570218108,78,9.11,18.35,78.8,2.51
295,Torrington,1,US,1570218108,52,42.06,-104.18,69.8,18.34
296,Luena,2,AO,1570218109,70,-11.78,19.91,63.09,2.48
297,Strathpeffer,0,GB,1570218110,93,57.59,-4.54,48.0,3.36
298,Egvekinot,97,RU,1570218110,93,66.32,-179.17,22.8,5.44
299,Coquimbo,0,CL,1570218110,72,-29.95,-71.34,55.29,29.53
300,Milkovo,40,BG,1570218111,93,41.53,24.68,62.6,5.12
301,Tarko-Sale,98,RU,1570218111,91,64.92,77.78,36.0,5.01
302,Ust-Tsilma,100,RU,1570218111,98,65.44,52.15,32.36,9.91
303,Okitipupa,100,NG,1570218113,93,6.5,4.78,75.87,4.12
304,Hualmay,65,PE,1570218113,91,-11.1,-77.61,61.61,19.71
305,Diamantino,34,BR,1570218113,40,-14.4,-56.44,91.55,1.41
306,Medvedka,100,RU,1570218113,88,61.17,46.39,42.55,11.34
307,Naze,75,NG,1570218114,83,5.43,7.07,78.8,6.93
308,Pilani,0,IN,1570218114,51,28.36,75.6,79.92,3.06
309,Hobyo,0,SO,1570218115,87,5.35,48.53,78.05,13.22
310,Samarai,100,PG,1570218115,95,-10.62,150.67,73.31,8.88
311,Vallenar,0,CL,1570218115,34,-28.58,-70.76,64.6,8.61
312,Davila,65,PH,1570218116,80,18.47,120.58,80.21,16.62
313,Hambantota,0,LK,1570218116,100,6.12,81.12,75.2,2.24
314,Youhao,0,CN,1570218116,63,47.86,128.84,28.37,1.99
315,West Bay,90,CA,1570218117,93,49.34,-123.21,53.6,8.05
316,Evensk,79,RU,1570217735,55,61.92,159.24,23.33,8.59
317,Ukiah,1,US,1570218117,29,39.15,-123.21,73.0,5.82
318,Alyangula,47,AU,1570218117,88,-13.85,136.42,66.2,8.88
319,Cody,1,US,1570217838,37,44.53,-109.06,61.0,18.34
320,Preston,20,GB,1570218118,93,53.76,-2.71,55.4,8.05
321,Kavaratti,83,IN,1570218118,75,10.57,72.64,81.72,7.92
322,Halifax,75,CA,1570218062,87,44.65,-63.58,50.0,14.99
323,Chulman,100,RU,1570218119,87,56.84,124.9,31.41,8.7
324,Almaznyy,0,RU,1570218119,72,48.03,40.04,68.0,2.24
325,Port Hardy,75,CA,1570218119,87,50.7,-127.42,51.8,6.93
326,Powell,90,US,1570218119,51,40.16,-83.08,69.01,9.17
327,Abu Dhabi,0,AE,1570218120,70,24.47,54.37,89.6,5.82
328,Bandarbeyla,13,SO,1570218120,78,9.49,50.81,77.06,7.47
329,Paris,90,FR,1570217986,93,48.86,2.35,57.99,10.29
330,Tongren,89,CN,1570218121,69,27.72,109.18,70.0,1.48
331,Langham,90,CA,1570218121,87,52.36,-106.96,42.8,16.11
332,Charters Towers,3,AU,1570218121,77,-20.07,146.27,59.29,5.99
333,Goundam,1,ML,1570218122,14,16.42,-3.66,97.2,5.01
334,Nador,0,MA,1570218122,64,35.17,-2.93,73.4,6.04
335,Rawlins,1,US,1570217847,16,41.79,-107.24,69.8,32.21
336,Villapinzon,52,CO,1570218123,60,5.22,-73.59,61.61,6.04
337,Bakersfield,1,US,1570218123,32,35.37,-119.02,71.01,7.45
338,Flinders,90,AU,1570218123,100,-34.58,150.85,60.01,10.29
339,Nanortalik,100,GL,1570218123,56,60.14,-45.24,46.8,12.8
340,Colombo,0,BR,1570218124,61,-25.29,-49.22,78.01,13.87
341,General Delgado,75,PY,1570218124,78,-27.09,-56.53,78.8,8.05
342,Gushikawa,1,JP,1570218125,94,26.35,127.87,77.0,5.82
343,Kilis,0,TR,1570218200,42,36.72,37.12,66.2,2.24
344,Port Shepstone,6,ZA,1570218201,93,-30.74,30.45,60.15,2.59
345,Veraval,90,FR,1570218201,93,49.65,0.71,57.2,6.93
346,Mgandu,2,TZ,1570218201,68,-5.96,34.11,64.89,7.96
347,Sibiti,89,CG,1570218202,98,-3.69,13.35,69.3,1.9
348,Natchez,1,US,1570218202,62,31.56,-91.4,93.0,8.05
349,Jalu,0,LY,1570217733,69,29.03,21.55,74.55,13.15
350,Cururupu,90,BR,1570218203,74,-1.82,-44.87,79.34,4.25
351,Waitati,35,NZ,1570218203,68,-45.75,170.57,45.0,21.99
352,Turka,0,RU,1570218203,64,52.95,108.22,46.24,12.64
353,Bochov,75,CZ,1570218204,100,50.15,13.05,48.0,4.7
354,Smithers,90,CA,1570218191,87,54.78,-127.17,46.4,2.24
355,Najran,0,SA,1570218205,23,17.54,44.22,82.4,4.7
356,Tchaourou,100,BJ,1570218206,88,8.89,2.6,72.07,4.83
357,High Level,90,CA,1570218206,70,58.52,-117.13,46.4,2.57
358,The Valley,40,AI,1570218208,66,18.22,-63.06,89.6,11.41
359,Kloulklubed,90,PW,1570218208,94,7.04,134.26,75.2,5.82
360,Chiang Rai,0,TH,1570218208,100,19.9,99.84,71.6,2.24
361,Farah,0,AF,1570218208,26,32.37,62.11,62.73,6.24
362,Tsabong,0,BW,1570218209,12,-26.02,22.4,67.98,11.1
363,Golden,1,US,1570218210,39,39.76,-105.22,73.99,8.05
364,Russell,90,US,1570218211,93,38.9,-98.86,55.4,12.75
365,Padang,67,ID,1570218211,86,-0.92,100.36,78.23,12.08
366,Charyshskoye,24,RU,1570218211,60,51.4,83.56,36.02,4.34
367,Rapar,0,IN,1570218212,78,23.57,70.65,78.98,8.19
368,Hovd,0,NO,1570218212,79,63.83,10.7,37.0,8.05
369,Zeya,0,RU,1570218212,70,53.74,127.27,26.53,0.65
370,Santiago del Estero,25,AR,1570218213,48,-27.8,-64.26,70.49,12.17
371,Mbekenyera,0,TZ,1570218213,79,-10.0,38.98,73.49,3.15
372,Fukuma,0,JP,1570218214,88,33.77,130.47,68.0,1.12
373,Portland,40,US,1570218214,47,43.66,-70.25,57.2,19.46
374,Vanimo,16,PG,1570218214,76,-2.67,141.3,79.45,8.3
375,Alekseyevsk,0,RU,1570218215,92,57.84,108.35,31.68,6.76
